Sell_Date
2020-01-24
2020-06-16
2020-06-18
2020-07-01
2020-07-16
2020-07-17
2020-07-20
2020-08-04
2020-08-19
2020-08-21
2020-08-24
2020-08-25
2020-09-03
2020-12-23
2020-12-24
2020-12-28
2020-12-29
2020-12-30
2021-01-18
2021-01-19
2021-01-20
2021-01-21
2021-02-19
2021-09-20
2021-09-21
2021-09-22
2021-09-23
2021-09-28
2021-09-29
2021-10-08
2021-10-12
2021-10-22
2021-10-27
2022-11-24
2022-11-25
2022-12-09
2022-12-13
2023-06-06
2023-06-13
2023-06-14
2023-06-21
